,discharge,datetime
786,104.97712,1903-02-26
787,117.31543,1903-02-27
788,132.45581,1903-02-28
789,132.05365,1903-03-01
790,129.18748,1903-03-02
791,131.46344,1903-03-03
792,130.3023,1903-03-04
793,125.92702,1903-03-05
794,139.1208,1903-03-06
795,151.11794,1903-03-07
796,148.66072,1903-03-08
797,144.17831,1903-03-09
798,136.97888,1903-03-10
799,128.6908,1903-03-11
800,120.9032,1903-03-12
801,114.5762,1903-03-13
802,109.8345,1903-03-14
803,106.28205,1903-03-15
804,103.53971,1903-03-16
805,101.33455,1903-03-17
806,99.724144,1903-03-18
807,98.30872,1903-03-19
808,97.0599,1903-03-20
809,95.96694,1903-03-21
810,94.79727,1903-03-22
811,93.446396,1903-03-23
812,91.97742,1903-03-24
813,90.481346,1903-03-25
814,89.00178,1903-03-26
815,87.552284,1903-03-27
816,86.12825,1903-03-28
817,84.718796,1903-03-29
818,83.31263,1903-03-30
819,81.92649,1903-03-31
820,80.57531,1903-04-01
821,79.33578,1903-04-02
822,78.105576,1903-04-03
823,108.1532,1903-04-04
824,144.28195,1903-04-05
825,143.61703,1903-04-06
826,139.99527,1903-04-07
827,130.44456,1903-04-08
828,118.55451,1903-04-09
829,109.92613,1903-04-10
830,102.8895,1903-04-11
831,96.69534,1903-04-12
832,96.35461,1903-04-13
833,94.479126,1903-04-14
834,92.59543,1903-04-15
835,90.9997,1903-04-16
836,87.47371,1903-04-17
837,85.06009,1903-04-18
838,83.460945,1903-04-19
839,82.40336,1903-04-20
840,81.56183,1903-04-21
841,80.55357,1903-04-22
842,88.04879,1903-04-23
843,92.5001,1903-04-24
844,88.48115,1903-04-25
845,84.778946,1903-04-26
846,81.064186,1903-04-27
847,77.522896,1903-04-28
848,74.41141,1903-04-29
849,71.76751,1903-04-30
850,69.582664,1903-05-01
851,67.850685,1903-05-02
852,66.747055,1903-05-03
853,66.02214,1903-05-04
854,65.27264,1903-05-05
855,64.58583,1903-05-06
856,63.918274,1903-05-07
857,63.361393,1903-05-08
858,67.11186,1903-05-09
859,81.742386,1903-05-10
860,98.99038,1903-05-11
861,107.1002,1903-05-12
862,119.385635,1903-05-13
863,132.21358,1903-05-14
864,132.29561,1903-05-15
865,124.90999,1903-05-16
866,113.43078,1903-05-17
867,103.553696,1903-05-18
868,95.653,1903-05-19
869,89.06349,1903-05-20
870,83.80183,1903-05-21
871,79.02819,1903-05-22
872,74.57831,1903-05-23
873,70.45874,1903-05-24
874,66.71988,1903-05-25
875,63.462906,1903-05-26
876,60.777264,1903-05-27
877,58.675266,1903-05-28
878,57.050995,1903-05-29
879,55.728947,1903-05-30
880,58.61178,1903-05-31
881,64.02529,1903-06-01
882,65.303345,1903-06-02
883,63.02892,1903-06-03
884,60.52948,1903-06-04
885,58.80886,1903-06-05
886,57.30281,1903-06-06
887,55.67942,1903-06-07
888,53.815468,1903-06-08
889,51.77384,1903-06-09
890,50.333923,1903-06-10
891,49.00704,1903-06-11
892,50.00421,1903-06-12
893,61.997776,1903-06-13
