,discharge,datetime
875,2330.6692,1903-05-26
876,2459.9678,1903-05-27
877,2609.2021,1903-05-28
878,2714.0674,1903-05-29
879,2740.262,1903-05-30
880,2674.2827,1903-05-31
881,2578.6748,1903-06-01
882,2523.7822,1903-06-02
883,2422.682,1903-06-03
884,2305.3008,1903-06-04
885,2211.3762,1903-06-05
886,2089.0771,1903-06-06
887,1924.9144,1903-06-07
888,1748.1809,1903-06-08
889,1587.2303,1903-06-09
890,1468.7837,1903-06-10
891,1409.0212,1903-06-11
892,1435.2479,1903-06-12
893,1470.2094,1903-06-13
894,1519.7882,1903-06-14
895,1589.1289,1903-06-15
896,1698.2468,1903-06-16
897,1889.5431,1903-06-17
898,2010.2142,1903-06-18
899,2049.2537,1903-06-19
900,2062.9312,1903-06-20
901,2072.707,1903-06-21
902,1979.473,1903-06-22
903,1876.0587,1903-06-23
904,1795.2858,1903-06-24
905,1727.9319,1903-06-25
906,1649.36,1903-06-26
907,1545.3647,1903-06-27
908,1420.1201,1903-06-28
909,1292.1597,1903-06-29
910,1178.5414,1903-06-30
911,1084.5873,1903-07-01
912,1011.10455,1903-07-02
913,957.1699,1903-07-03
914,917.572,1903-07-04
915,884.025,1903-07-05
916,873.6427,1903-07-06
917,899.3653,1903-07-07
918,924.3839,1903-07-08
919,989.9207,1903-07-09
920,1097.7589,1903-07-10
921,1197.4799,1903-07-11
922,1252.3434,1903-07-12
923,1250.6855,1903-07-13
924,1189.7249,1903-07-14
925,1179.4415,1903-07-15
926,1192.0818,1903-07-16
927,1381.4685,1903-07-17
928,1683.0841,1903-07-18
929,2084.0557,1903-07-19
930,2528.497,1903-07-20
931,2766.6873,1903-07-21
932,2651.9578,1903-07-22
933,2462.7725,1903-07-23
934,2330.6436,1903-07-24
935,2127.8508,1903-07-25
936,2015.4957,1903-07-26
937,1935.2278,1903-07-27
938,1914.1372,1903-07-28
939,2029.682,1903-07-29
940,2077.7188,1903-07-30
941,2102.1023,1903-07-31
942,2044.535,1903-08-01
943,2005.2898,1903-08-02
944,1979.2085,1903-08-03
